IDX,Q1,RQ1,Q2_1,Q2_2A1,Q2_2A2,Q2_2A3,Q3A1,MQ3A1_60,RQ3A1,Q3A2,MQ3A2_61,RQ3A2,Q3B,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4K01,Q4K02,Q4K03,Q4K04,Q4K05,Q4K06,Q4K07,Q4K08,MQ5_1T,CQ5_1T,DAY평균,RDAY평균,Q6,Q6_1,Q7A01,Q7A02,Q7A03,Q7A04,Q7A05,Q7A06,Q7A07,Q7A08,Q7A09,Q7A10,Q7A11,Q7A12,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_ENT
1.00,1,1.00,3,,,,89.00,,14,90.00,,12.00,,,,,,5.00,6.00,,,,,,,,,,,,,,,,5,,,,2405.89,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,50.00,3.00,1.00,
2.00,3,3.00,2,13,,,89.00,,14,90.00,,12.00,,,,,,5.00,,,,,,,,,,,,,,,,,5,,,,2165.30,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,60.00,2.00,3.00,
3.00,2,2.00,2,13,,,7.00,7.00,7,8.00,8.00,8.00,,1.00,2.00,,,,,,,,,,,,,,16.00,,1,2,,,,,7,,1000.00,2.00,125.00,2.00,5,,,,,,,,,,,,,,5.00,2.00,97.00,2.00,40.00,2.00,2.00,
4.00,3,3.00,1,6,1,,270.00,,14,271.00,,13.00,,1.00,,3.00,,,,,,9.00,,,,13.00,,,,17.00,1,,3,,,6,,8,2733.25,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,1.00,3.00,
5.00,1,1.00,4,,,,240.00,,14,241.00,,13.00,,1.00,,,,,,,,9.00,,,,,,,,,1,,,,,6,,,8199.75,6.00,,,4,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,4.00,1.00,
6.00,3,3.00,1,13,,,45.00,45.00,13,46.00,46.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,2186.60,5.00,47.53,1.00,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,1.00,3.00,
7.00,1,1.00,2,13,,,92.00,,14,93.00,,13.00,,,2.00,,,,,,,,,,,,,,,,,2,,,,,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,15.00,2.00,1.00,
8.00,5,4.00,3,,,,2.00,2.00,2,3.00,3.00,3.00,,,,3.00,,,,,,,,,,,,,,,,,3,,,,,,382.66,1.00,127.55,2.00,5,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,30.00,3.00,4.00,
9.00,5,4.00,2,13,2,,90.00,,14,91.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,1202.94,3.00,,,4,,,,,,,,,,,,,,5.00,2.00,12.00,2.00,20.00,2.00,4.00,
10.00,30,4.00,2,13,,,11.00,11.00,11,12.00,12.00,11.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,7000.00,6.00,583.33,6.00,4,,,,,,,,,,,,,,5.00,2.00,9.00,2.00,40.00,2.00,4.00,
11.00,28,4.00,4,,,,69.00,,14,70.00,,12.00,,,,3.00,,,,,,,,,,,,,,,,,3,,,,,,8019.63,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,11.00,1.00,60.00,4.00,4.00,
12.00,3,3.00,1,4,3,,119.00,,14,120.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3207.85,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,1.00,3.00,
13.00,1,1.00,3,,,,69.00,,14,70.00,,12.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,5000.00,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,30.00,3.00,1.00,
14.00,1,1.00,2,4,7,9,89.00,,14,90.00,,12.00,,1.00,2.00,3.00,,,,,,,,,,,,,,,1,2,3,,,,,,3000.00,5.00,,,5,,,,,,,,,,,,,,5.00,2.00,97.00,1.00,30.00,2.00,1.00,
15.00,4,4.00,4,,,,364.00,,14,365.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,4.00,4.00,
16.00,20,4.00,3,,,,364.00,,14,365.00,,13.00,,1.00,2.00,,,,,,,,,,,,,,,,1,2,,,,,,,,98.00,,,5,,,,,,,,,,,,,,5.00,2.00,1.00,2.00,20.00,3.00,4.00,
17.00,1,1.00,4,,,,120.00,,14,121.00,,13.00,,1.00,,,,,,,,,,,,,,,,,1,,,,,,,,3061.24,6.00,,,5,,,,,,,,,,,,,,5.00,2.00,13.00,2.00,20.00,4.00,1.00,
