id,Q1,RQ1,Q2a1,Q2a2,MQ2A2_61,RQ2A2,Q2B,Q2A2_14,MQ2A2_1461,RQ2A2_14,Q3,Q3B1,Q3B2,Q3B3,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,총액1인MIS,C총액1인TOT,DAY평균,RDAY평균,Q7,Q8,Q9,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_ENT,D_PLA,D_Q1,D_TYP
402,10,4.00,20,21,21.00,11.00,2,21.00,21.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,1000.00,1.00,47.62,1.00,5,5,5,1.00,1.00,9.00,1.00,6.00,3.00,2.00,2.00,4.00,
403,10,4.00,14,15,15.00,11.00,2,15.00,15.00,11.00,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,1300.00,2.00,86.67,2.00,5,5,5,1.00,1.00,9.00,1.00,5.00,3.00,2.00,2.00,4.00,
408,3,3.00,90,91,,14.00,1,77.00,,13.00,2,13,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,4500.00,4.00,,,5,5,5,1.00,1.00,9.00,2.00,4.00,2.00,1.00,2.00,3.00,
411,8,4.00,269,270,,14.00,1,256.00,,14.00,2,13,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,453.95,1.00,,,4,4,5,1.00,1.00,2.00,2.00,4.00,2.00,1.00,1.00,4.00,
413,2,2.00,90,91,,14.00,1,77.00,,13.00,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,8000.00,5.00,,,4,3,3,1.00,1.00,9.00,1.00,5.00,3.00,1.00,1.00,2.00,
414,4,4.00,90,91,,14.00,2,91.00,,14.00,3,,,,,2,,,,,,,,,,,,14,15,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,10000.00,5.00,,,5,5,5,1.00,1.00,97.00,1.00,4.00,3.00,2.00,2.00,4.00,
415,2,2.00,89,90,,13.00,1,76.00,,13.00,3,,,,1,2,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,6204.00,5.00,,,5,5,5,1.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,
416,2,2.00,79,80,,13.00,1,66.00,,13.00,3,,,,1,2,,,,,,,,,,,,14,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,4653.00,4.00,,,5,5,5,1.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,1.00
420,5,4.00,149,150,,14.00,1,136.00,,14.00,4,,,,1,2,3,4,5,6,7,8,,,11,12,,,15,,,1,2,3,,,,,,,,,,,,,,,1,2,3,,,,,,2723.71,3.00,,,5,5,3,1.00,1.00,2.00,2.00,3.00,4.00,1.00,2.00,4.00,1.00
422,6,4.00,299,300,,14.00,2,300.00,,14.00,4,,,,,2,3,,5,,,,9,,11,,,,15,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,7275.00,5.00,,,5,5,5,1.00,1.00,1.00,2.00,1.00,4.00,2.00,2.00,4.00,
