id,Q1,RQ1,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,Q2a1,Q2a2,MQ2A2_61,RQ2A2,Q11A$01,Q11A$02,Q11A$03,Q11A$04,Q11A$05,Q11A$06,Q11A$07,Q11A$08,Q11A$09,Q11A$10,Q11A$11,Q11A$12,Q11A$13,Q11A$14,Q11A$98,호텔숙박60,모텔숙박60,펜션숙박60,콘도숙박60,유스숙박60,야영숙박60,연수숙박60,한옥숙박60,게스숙박60,민박숙박60,휴양숙박60,친지숙박60,기타숙박60,Q11_1a01t,Q11_1a02t,Q11_1a03t,Q11_1a04t,Q11_1a05t,Q11_1a06t,Q11_1a07t,Q11_1a08t,Q11_1a09t,Q11_1a10t,Q11_1a11t,Q11_1a12t,Q11_1a13t,Q11_1a14t,Q11_1a15t,Q11_1a16t,Q11_1a17t,총액1인TOT,총액1인MIS,C총액1인MIS,DAYall평균,DAY평균,RDAY평균,Q7,Q8,Q9,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_PLA,D_Q1,D_TYP
276.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,11.0,,13.0,14.0,,,17.0,1.00,,,,,6.00,7.00,8.00,46.00,,,,,,,,,,0.00,,14.00,85.00,,,5.00,,,,,,,,,,,,,,,,,,47.00,,,,,,,,,,1.00,,15.00,86.00,,,6.00,,,,,,,,,,,,,,,,,,150,151,,14.00,,,,,,,7.00,,9.00,,,12.00,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,9.0,7.0,,,12.0,5677.50,5677.50,5.00,37.60,,,5.0,5.0,5.0,1.00,1.00,13.00,2.00,2.00,4.00,2.00,1.00,1.00
283.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,4.0,5.0,1.0,1.0,,,,,,,,,10.0,11.0,,13.0,14.0,,,17.0,1.00,,,,,6.00,7.00,8.00,14.00,,,,,,,,,109.00,2.00,,14.00,7.00,,,4.00,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,110.00,3.00,,15.00,8.00,,,5.00,,,,,,,,,,,,,,,,,,150,151,,14.00,,,,,,,7.00,,9.00,,,12.00,,,,,,,,,,,,,,,,,12.0,,,,,,,,,7.0,9.0,,12.0,12.0,,,9.0,6245.25,6245.25,5.00,41.36,,,5.0,5.0,5.0,1.00,1.00,13.00,2.00,2.00,4.00,2.00,1.00,1.00
286.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,13.0,,,,,1.00,,,,,6.00,,,140.00,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,141.00,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,150,151,,14.00,1.00,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,15000.00,,98.00,99.34,,,5.0,5.0,5.0,1.00,1.00,13.00,1.00,2.00,4.00,2.00,1.00,
289.0,4.00,4.00,2.0,13.0,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,12.0,,,,,,4.0,5.0,6.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,30.00,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,,,30,31,31.00,12.00,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,30.00,,12.0,,,,,,,,,,,,,,,,,2271.00,2271.00,3.00,73.26,73.26,2.00,5.0,5.0,5.0,1.00,1.00,13.00,1.00,2.00,2.00,2.00,4.00,1.00
300.0,1.00,1.00,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,14.0,15.0,16.0,,1.0,3.0,2.0,,,,,,,,,,,,,13.0,,,,,,,,,,6.00,,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.00,,,,,,,,,,,,,,,,,,,,,,150,151,,14.00,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,4710.00,4710.00,4.00,31.19,,,5.0,5.0,5.0,1.00,1.00,2.00,2.00,2.00,4.00,3.00,1.00,1.00
306.0,1.00,1.00,3.0,,,,1.0,1.0,,,,,,,,,,,,,14.0,,,,14.0,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,6.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,6.00,,,,,5,6,6.00,2.00,1.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2271.00,2271.00,3.00,378.50,378.50,4.00,4.0,4.0,4.0,1.00,1.00,97.00,1.00,5.00,3.00,1.00,1.00,
312.0,1.00,1.00,1.0,5.0,4.0,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,4.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,89.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,90,,13.00,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,10219.50,,98.00,113.55,,,5.0,5.0,5.0,1.00,1.00,13.00,1.00,2.00,1.00,1.00,1.00,1.00
321.0,3.00,3.00,4.0,,,,1.0,,2.0,3.0,4.0,,,,,,,,,,,,,,3.0,2.0,4.0,1.0,,,4.0,5.0,,,,,,,,,,,,,1.00,,,4.00,5.00,,,,0.00,,,1.00,299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,2.00,298.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,301,,14.00,1.00,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,8234.65,8234.65,5.00,27.36,,,5.0,4.0,4.0,1.00,1.00,18.00,2.00,2.00,4.00,2.00,3.00,1.00
324.0,1.00,1.00,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,29.00,,,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,29,30,30.00,11.00,1.00,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,785.00,785.00,1.00,26.17,26.17,1.00,5.0,5.0,5.0,1.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00
327.0,1.00,1.00,1.0,13.0,11.0,,1.0,,2.0,,4.0,,6.0,,,,,,,,,,,,4.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,1.00,,,,,,,,39.00,,,,,,,,,,,,,,,,,39.00,,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,,,39,40,40.00,12.00,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,39.00,,12.0,,,,,,,,,,,,,,,,,2838.75,2838.75,3.00,70.97,70.97,2.00,5.0,5.0,5.0,1.00,1.00,97.00,1.00,5.00,1.00,2.00,1.00,1.00
