pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a99,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R1일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인MIS,총액1인TOT2,총액1인MIS_개별국제교통비제외,총액1인TOT항공제외2,C총액1인MIS,C총액1인TOT2,C총액1인MIS_개별국제교통비제외,C총액1인TOT항공제외2,MDAY전체,MDAY전체TOT_RAW2,MDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외,MDAY전체TOT_RAW61항공제외2,RDAY전체,RDAY전체TOT_RAW2,RDAY전체TOT_RAW61,RDAY전체_개별국제교통비제외,RDAY전체TOT_RAW61항공제외2,MDAY개별대체,MDAY에어대체,MDAY단체대체,MDAY개별61대체,MDAY에어61대체,MDAY단체61대체,MDAY개별61항공제외대체,MDAY에어61항공제외대체,MDAY단체61항공제외대체,RDAY개별대체,RDAY에어대체,RDAY단체대체,RDAY개별61대체,RDAY에어61대체,RDAY단체61대체,RDAY개별61항공제외대체,RDAY에어61항공제외대체,RDAY단체61항공제외대체,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q13,Q14,D_MON,D_BUN,D_NAT,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight
6.0,4.00,4.00,5.00,1,1,2,3,4,4,8,2,,2,,,1,7,2,6,10,2,1,4,7,,2,5,6,8,6,,,2,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,,,,,,8,,,,,,,,,,,,8,1,2,11040.0,,,,,1,,,4,,,,,,,,,,,,,,1.00,,,4.00,,,,,,,3.00,1.00,2.00,26.00,27.00,27.00,4.00,24.00,,,2.00,,,,,,,,,,,,,,25.00,,,3.00,,,,,,,,,,,,,,24.00,,,2.00,,,,,,,,,,,,,,25.00,,,3.00,,,,,,,,,,,,,,1.00,,,,,,7.00,,,2.00,,,,,,24.00,,2.00,,,,,,24.00,,1633.64,1633.64,1093.21,1093.21,2.00,2.00,2.00,2.00,60.51,60.51,60.51,40.49,40.49,2.00,2.00,2.00,1.00,1.00,60.51,,,60.51,,,40.49,,,2.00,,,2.00,,,1.00,,,0.00,0.00,123.53,308.82,46.32,540.43,0.00,0.00,0.00,0.00,0.00,54.04,77.20,0.00,0.00,23.16,0.00,386.02,20.07,54.04,0.00,0.00,1.00,1.00,3.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,1.00,4.00,2.00,3.00,1.00,1.00,1,,,4,,,,,,,,,,40.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,,5,5,5,,,,,,5,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1.00,1.00,3.00,2.00,2.00,1.00,4.00,1.00,866.10
7.0,20.00,4.00,5.00,1,2,2,9,7,,,,15,,,,3,13,2,3,6,4,3,1,5,,6,4,8,,,,11,1,,2,,,5,,,8,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,,2,3,,,,,,,,11,,,,,,,,,11,2,3,11521.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,6.00,7.00,7.00,2.00,6.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,6.00,,,,,,,,6.00,,2007.30,2007.30,1621.28,1621.28,3.00,3.00,2.00,2.00,286.76,286.76,286.76,231.61,231.61,3.00,3.00,3.00,3.00,3.00,286.76,,,286.76,,,231.61,,,3.00,,,3.00,,,3.00,,,0.00,0.00,0.00,772.04,0.00,0.00,386.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.20,0.00,0.00,772.04,0.00,0.00,0.00,0.00,1.00,1.00,1.00,4.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,,,3,,,,,8,9,,,,,0.00,0.00,50.00,0.00,0.00,0.00,0.00,40.00,10.00,0.00,0.00,0.00,0.00,5,7,,5,,5,5,,,,,,,,5,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1.00,1.00,1.00,1.00,3.00,2.00,4.00,1.00,191.33
8.0,2.00,2.00,5.00,1,5,,,,,,,15,,,,,,,,,,4,,,,,,,5,,,,3,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,,,,,,,,,,,,,,,,,,,1,,,28003.0,,,,,,,3,,,,,,,,,,,,,,,,,3.00,,,,,,1.00,,,1.00,,1.00,2.00,2.00,1.00,,,1.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,1.00,,,,,,,,1650.00,1650.00,150.00,150.00,2.00,2.00,1.00,1.00,825.00,825.00,825.00,75.00,75.00,5.00,5.00,5.00,2.00,2.00,825.00,,,825.00,,,75.00,,,5.00,,,5.00,,,2.00,,,0.00,0.00,100.00,50.00,0.00,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,5,,,,,,,,,,,,,,,5,4,4,5,5,5,5,5,5,5,,5,5,1.00,1.00,4.00,2.00,1.00,5.00,2.00,1.00,244.84
10.0,1.00,1.00,,1,3,,,,,,,15,,,,,,,,,,4,,,,,,,,,,11,2,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,,,,4,,,,,,,,,,,15,16,,,,15,4,16,11071.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,7.00,8.00,8.00,3.00,7.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,7.00,,,,,,,,7.00,,,,,,,,3586.80,3586.80,2818.20,2818.20,4.00,4.00,3.00,3.00,448.35,448.35,448.35,352.28,352.28,4.00,4.00,4.00,4.00,4.00,448.35,,,448.35,,,352.28,,,4.00,,,4.00,,,4.00,,,0.00,0.00,1921.50,640.50,0.00,768.60,0.00,0.00,0.00,0.00,0.00,0.00,256.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,5,,,,5,,,,,,,,,,,5,5,5,5,5,5,4,5,9,5,5,,4,4,1.00,1.00,5.00,1.00,5.00,3.00,1.00,1.00,555.27
11.0,3.00,3.00,5.00,1,2,8,3,7,,,,15,,,,2,1,4,3,6,,4,3,,,,,,,,,11,1,,2,,,,,,,9,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,1,2,,4,,,,,,,,,,,,,,,,2,4,1,11012.0,,,,,1,,3,,,,,,,,,,,,,,,1.00,,3.00,,,,,,1.00,,,1.00,,70.00,71.00,,12.00,0.00,,70.00,,,,,,,,,,,,,,,5.00,,71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,70.00,,,,,,,,,,2151.56,2151.56,1646.16,1646.16,3.00,3.00,2.00,2.00,,30.30,,,,,1.00,,,,30.30,,,,,,,,,1.00,,,,,,,,,0.00,0.00,0.00,433.20,0.00,505.40,0.00,0.00,0.00,0.00,0.00,0.00,14.44,0.00,0.00,0.00,0.00,1155.20,43.32,0.00,0.00,0.00,1.00,1.00,1.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,1,2,,,,,7,,,,,,,50.00,20.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,7,,,4,5,5,,5,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1.00,1.00,1.00,2.00,4.00,2.00,3.00,1.00,193.43
12.0,1.00,1.00,,1,1,8,7,,,,,15,,,,5,7,1,5,6,3,4,,,,,,,7,5,3,,4,1,,,,,,,,,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,,,,5,,7,,,,11,,,,,,,,,5,1,11,11012.0,,,,,1,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,1.00,,4.00,5.00,5.00,2.00,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,2036.79,2036.79,1140.09,1140.09,3.00,3.00,2.00,2.00,407.36,407.36,407.36,228.02,228.02,4.00,4.00,4.00,3.00,3.00,407.36,,,407.36,,,228.02,,,4.00,,,4.00,,,3.00,,,0.00,0.00,384.30,192.15,0.00,0.00,896.70,0.00,0.00,0.00,0.00,25.62,12.81,0.00,0.00,12.81,0.00,512.40,0.00,0.00,0.00,0.00,1.00,1.00,4.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,4.00,1.00,1.00,1.00,1.00,1,2,3,,,,,,,,,,,50.00,10.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,,5,5,,,,5,,5,,,,5,,,,,4,4,5,4,4,5,4,4,4,4,,5,5,1.00,1.00,5.00,2.00,4.00,1.00,1.00,1.00,298.39
14.0,1.00,1.00,,1,1,4,5,8,1,6,4,,1,4,5,12,11,3,1,11,4,4,1,3,,5,4,7,6,2,3,,2,,,3,,5,6,,,,,,2.00,,,3,4,,,,,5.00,4.00,1.00,4.00,3.00,3.00,3.00,1.00,3.00,3.00,1,2,,4,,,,,,,11,,,,,,,,,4,2,11,42001.0,,,,,1,,,4,,,,,,,,,,,,,,1.00,,,4.00,,,,,,,3.00,1.00,2.00,6.00,7.00,7.00,2.00,6.00,,,0.00,,,,,,,,,,,,,,7.00,,,1.00,,,,,,,,,,,,,,6.00,,,0.00,,,,,,,,,,,,,,7.00,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,6.00,,,,,,,,6.00,,,,,,,,2247.30,2247.30,1430.10,1430.10,3.00,3.00,2.00,2.00,321.04,321.04,321.04,204.30,204.30,4.00,4.00,4.00,3.00,3.00,321.04,,,321.04,,,204.30,,,4.00,,,4.00,,,3.00,,,0.00,0.00,953.40,227.00,0.00,0.00,817.20,0.00,0.00,0.00,0.00,0.00,0.00,95.34,31.78,9.08,22.70,90.80,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1,2,3,,,,,,,,,,,60.00,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,5,6,5,5,5,,5,,,,,,,5,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,1.00,1.00,8.00,2.00,3.00,1.00,1.00,1.00,130.46
16.0,3.00,3.00,5.00,1,3,,,,,,,15,,,,,,,,,,4,3,1,,1,,,2,,,,2,1,,,,,,,,,,,1.00,1,,,,,,,,1.00,,,,,1.00,,,,,,2,,,,,,,,,,,,,,,17,,,17,2,,41520.0,,,,,,2,,,,,,,,,,,,,,,,,2.00,,,,,,,1.00,,,1.00,,7.00,8.00,8.00,3.00,,7.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,7.00,,,,,,,,7.00,,,,,,,,3100.02,3100.02,2075.22,2075.22,4.00,4.00,3.00,3.00,387.50,387.50,387.50,259.40,259.40,4.00,4.00,4.00,3.00,3.00,387.50,,,387.50,,,259.40,,,4.00,,,4.00,,,3.00,,,0.00,0.00,1152.90,576.45,0.00,1024.80,0.00,0.00,0.00,0.00,0.00,0.00,192.15,0.00,0.00,0.00,0.00,153.72,0.00,0.00,0.00,0.00,1.00,1.00,5.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,,,,,,,,,,,,,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,,4,,4,,,,,,,,,,,,,,4,3,5,3,5,5,4,9,9,4,,4,4,1.00,1.00,5.00,1.00,2.00,3.00,3.00,1.00,282.05
19.0,1.00,1.00,,1,1,1,8,,,,,15,,,,5,2,1,4,5,,3,4,,,,,,,,,11,5,1,,,,,,,8,,,,2.00,,,,4,,,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,4,,6,,,,,,,,,,,,,,3,4,2,11515.0,,,,,1,,,4,,,,,,,,,13,,,,,1.00,,,4.00,,6.00,,,,,3.00,1.00,2.00,7.00,8.00,8.00,3.00,3.00,,,2.00,,,,,,,,,2.00,,,,,4.00,,,3.00,,,,,,,,,3.00,,,,,3.00,,,2.00,,,,,,,,,2.00,,,,,4.00,,,3.00,,,,,,,,,3.00,,,,,1.00,,,,,,,,,7.00,,,,,,,,7.00,,,,,,,,1759.25,1759.25,1759.25,1759.25,2.00,2.00,2.00,2.00,219.91,219.91,219.91,219.91,219.91,3.00,3.00,3.00,3.00,3.00,219.91,,,219.91,,,219.91,,,3.00,,,3.00,,,3.00,,,0.00,0.00,454.00,227.00,0.00,0.00,0.00,0.00,681.00,0.00,0.00,0.00,56.75,0.00,0.00,0.00,0.00,340.50,0.00,0.00,0.00,0.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,,3,,,,,,,,,,,80.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,3,,4,5,4,5,5,,4,,,,,,,,,,5,5,5,4,4,4,5,5,4,5,,5,5,1.00,1.00,8.00,1.00,5.00,1.00,1.00,1.00,119.06
20.0,1.00,1.00,,1,1,7,1,9,1,6,5,,5,4,10,7,2,1,10,6,2,1,3,4,,2,1,5,2,1,,,3,1,2,3,4,5,,,8,9,,,2.00,,,,,,6,,,2.00,1.00,0.00,2.00,1.00,2.00,1.00,0.00,2.00,1.00,1,2,3,4,,,,,,,,,,,,,,,,2,3,1,42001.0,,,,,1,,,4,,,,,,,,,,,,,,1.00,,,4.00,,,,,,,3.00,1.00,2.00,7.00,8.00,8.00,3.00,7.00,,,0.00,,,,,,,,,,,,,,8.00,,,1.00,,,,,,,,,,,,,,7.00,,,0.00,,,,,,,,,,,,,,8.00,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,7.00,,,,,,,,7.00,,,,,,,,2119.00,2119.00,1336.60,1336.60,3.00,3.00,2.00,2.00,264.88,264.88,264.88,167.08,167.08,3.00,3.00,3.00,3.00,3.00,264.88,,,264.88,,,167.08,,,3.00,,,3.00,,,3.00,,,195.60,0.00,260.80,326.00,0.00,0.00,782.40,0.00,0.00,0.00,0.00,163.00,65.20,0.00,0.00,0.00,0.00,326.00,0.00,0.00,0.00,0.00,2.00,1.00,4.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1,2,,4,,,,,,,11,,,20.00,20.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,5,6,3,5,4,5,5,4,,,,,,,,,,,,5,5,5,4,4,4,4,4,4,4,4,4,4,1.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,636.21
