pnid,MVIT,RVIT,XRVIT,MVIT5Y,RVIT5Y,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,ZQ2_31,ZQ2_32,ZQ2_33,ZQ2_34,Q2_3_직전_숙박일수,Q2_3_직후_숙박일수,MQ2_3_직전_숙박일수,MQ2_3_직후_숙박일수,Q2_3a2at,Q2_3a2bt,Q2_3a2ct,Q2_3a2dt,Q2_3a2et,Q2_3a3at,Q2_3a3bt,Q2_3a3ct,Q2_3a3dt,Q2_3a3et,Q2_3b2a,Q2_3b2b,Q2_3b2c,Q2_3b2d,Q2_3b2e,Q2_3b3a,Q2_3b3b,Q2_3b3c,Q2_3b3d,Q2_3b3e,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a_dk,Q6,MQ6_1R,Q6_1R,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8a20,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R1일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,WQ9_5a01,WQ9_5a02,WQ9_5a03,WQ9_5a04,WQ9_5a05,WQ9_5a06,WQ9_5a07,WQ9_5a08,WQ9_5a09,WQ9_5a10,WQ9_5a11,WQ9_5a12,WQ9_5a13,WQ9_5a14,WQ9_5a15,WQ9_5a16,WQ9_5a17,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인TOT2,C총액1인TOT2,총액1인TOT_개별국제교통비제외2,C총액1인TOT_개별국제교통비제외2,MDAY전체TOT_RAW61,RDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외61,RDAY전체_개별국제교통비제외61,MDAY개별대체61,MDAY에어대체61,MDAY단체대체61,RDAY개별대체61,RDAY에어대체61,RDAY단체대체61,MDAY개별대체_개별국제교통비제외61,MDAY에어대체_개별국제교통비제외61,MDAY단체대체_개별국제교통비제외61,RDAY개별대체_개별국제교통비제외61,RDAY에어대체_개별국제교통비제외61,RDAY단체대체_개별국제교통비제외61,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,단기투어상품1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,C단기투어상품1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q12a27,Q13,Q14,D_MON,D_BUN,D_NAT,D_NAT2,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight1,weight2,weight3,weight4,weight
88,3,3,5,3.0,1,1,2,7,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,1,3,4,,,,,,,,,,11,4,,,,,,,,,,,99,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,,,,,,,,,,,,,,,,,,3,1,2,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,20,21,21,4,20,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,20,,,,,,,,20,,935.05,1,470.62,1,44.53,1,22.41,1,44.53,,,1,,,22.41,,,1,,,,0.00,0.00,154.81,43.35,0.00,464.43,0.00,0.00,0.00,0.00,12.38,12.38,0.00,0.00,0.00,0.00,247.69,0.00,0.00,0.00,0.00,0.00,,1,1,4,3,1,4,1,1,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,2,3,,,,,,,,,,,40.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,3,8,5,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,9,5,9,,5,5,1,1,7,,2,3,2,3,1,324.73,,,,324.73
89,1,1,,3.0,1,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,,10,1,4,8,9,,,2,1,,,,,,,,,,,2,,,2,,,,,,,7,,3,2,0,3,2,3,2,0,3,2,,,,,,,,,,,,,,,,,,18,,,18,,,30500,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,2,,,2,4,5,5,2,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,4,,,,,,,780.00,1,195.00,1,156.00,3,39.00,1,156.00,,,3,,,39.00,,,1,,,,0.00,117.00,0.00,0.00,0.00,585.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,3,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,4,,,,,,,,,,,,,,,,,4,3,4,3,3,4,4,4,4,4,,3,4,1,1,7,,1,4,3,1,1,318.69,,,,318.69
90,1,1,,1.0,1,3,1,9,8,10,1,4,,,8,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,1,3,4,11,1,,,,9,6,5,6,7,,,5,,,,,,,,,,,,,,,2,,,,,,6,,,3,2,0,3,2,3,2,0,3,2,1,2,,,5,,7,,,,,12,,,,,,,,,1,2,5,11001,,,,,1,,3,4,,,,,,,,,,,,,,1,,3,4,,,,,,,3,1,2,5,6,6,2,3,,2,0,,,,,,,,,,,,,,4,,3,1,,,,,,,,,,,,,,3,,2,0,,,,,,,,,,,,,,4,,3,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,2306.40,3,2306.40,3,384.40,4,384.40,4,,,384.40,,,4,,,384.40,,,4,930.00,0.00,,0.00,124.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1240.00,12.40,0.00,0.00,0.00,,4,1,,1,4,,,,1,1,1,1,1,1,1,1,1,4,2,1,1,1,,1,2,3,,5,,7,,,,,,,5.00,70.00,5.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,2,8,1,5,4,5,,,5,,3,,,,,3,,,,,4,3,4,4,4,3,4,4,5,5,5,5,5,1,1,13,,2,4,1,1,3,475.66,,,,475.66
91,1,1,,3.0,1,3,1,4,8,7,1,3,4,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,4,6,7,1,7,,,1,2,5,1,2,,,3,,,,,,,,,,,,,,,2,,,3,,,,,,40,39,0,40,39,3,3,0,3,3,,,,4,,6,,8,9,,,12,13,14,,,,,,,6,14,8,42001,11012,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,,3,1,2,5,6,6,2,5,,,0,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,5,,,0,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1686.40,2,1686.40,2,281.07,3,281.07,3,,,281.07,,,3,,,281.07,,,3,930.00,0.00,,0.00,372.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,372.00,12.40,0.00,0.00,0.00,,4,1,,1,4,,,,1,1,1,1,1,1,1,1,1,4,2,1,1,1,,1,2,,4,,,,,,,,,13,10.00,40.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,4,5,6,5,,,,5,,5,,4,4,,,5,5,5,,,4,3,4,3,4,5,4,5,5,5,5,5,5,1,1,13,,2,2,1,1,3,508.55,,,,508.55
92,1,1,,1.0,1,1,4,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,1,4,7,,,,11,5,,,,,,,,,,,99,2,,,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,,,,,,8,,,,,,,,,,,,,8,,,11002,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,30,31,31,5,30,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,30,,,,,,,,30,,,1335.78,2,985.93,1,43.09,1,31.80,1,43.09,,,1,,,31.80,,,1,,,,0.00,636.09,127.22,0.00,349.85,0.00,0.00,0.00,0.00,0.00,0.00,31.80,0.00,0.00,0.00,0.00,190.83,0.00,0.00,0.00,0.00,0.00,,1,5,4,1,4,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,,,4,,,,,,,,,,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,,4,4,4,,,,,,4,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,4,4,1,1,7,,2,1,4,1,1,255.69,,,,255.69
93,3,3,5,17.0,4,1,1,10,3,7,1,,,,7,6,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,2,6,9,3,6,4,,,,,4,3,6,,2,1,,,,,,7,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,,,,8,9,,,,,,,,,,,,8,9,2,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,2,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,5,,,,1362.00,2,1235.51,2,227.00,3,205.92,3,227.00,,,3,,,205.92,,,3,,,,0.00,204.43,255.53,0.00,0.00,126.49,0.00,0.00,0.00,0.00,57.50,6.39,0.00,0.00,447.19,0.00,255.53,8.94,0.00,0.00,0.00,0.00,,1,4,4,1,1,3,1,1,1,1,3,2,1,1,4,1,4,2,1,1,1,1,1,,3,,,,,,,,11,,,40.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,3,5,,5,5,5,,,,,,5,5,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,1,,2,2,1,3,1,1523.75,,,,1523.75
96,1,1,,3.0,1,3,1,9,1,4,2,1,12,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,11,3,10,4,1,2,,8,2,1,6,7,1,,4,,,,,,,,,,,,,,,2,,2,,4,,,,,3,2,0,3,2,3,2,0,3,2,1,,3,,,6,,,,,,12,,,,,,18,,,1,6,12,42001,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,,3,1,2,4,5,5,2,4,,,0,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,4,,,0,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,2560.60,3,2560.60,3,512.12,5,512.12,5,,,512.12,,,5,,,512.12,,,5,930.00,0.00,,0.00,62.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,18.60,0.00,0.00,0.00,,4,1,,1,3,,,,1,1,1,1,1,1,1,1,1,4,2,1,1,1,,1,2,3,,5,,7,,,,,,,50.00,10.00,10.00,0.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,2,4,4,,5,,,5,,,,,,3,,,,,3,3,4,3,3,4,3,3,3,3,5,4,4,1,1,13,,1,4,1,1,3,569.25,,,,569.25
99,1,1,,3.0,1,3,1,9,,,1,7,6,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,6,7,3,2,,,,,,,9,1,6,,2,,,,,,,,,,,,,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,,,,,,,,12,,,,,,,,,3,1,2,42001,,,,,1,,3,4,,,,,,10,,,,,,,,1,,3,4,,6,,,,,3,1,2,4,5,5,2,2,,1,0,,,,,,1,,,,,,,,3,,2,1,,,,,,2,,,,,,,,2,,1,0,,,,,,1,,,,,,,,3,,2,1,,,,,,2,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1178.00,2,1178.00,2,235.60,3,235.60,3,,,235.60,,,3,,,235.60,,,3,930.00,0.00,,43.40,31.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,18.60,0.00,0.00,0.00,,4,1,,3,3,,,,1,1,1,1,1,1,1,1,1,4,2,1,1,1,,1,2,3,,,,,,,10,,,,50.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,8,5,2,5,4,5,5,,,,,,,,,5,,,,,4,5,5,4,4,4,5,5,4,4,5,4,5,1,1,13,,1,3,1,1,3,459.39,,,,459.39
100,3,3,5,5.0,2,1,1,5,8,,1,3,12,,11,,,,2,,4,4,,30,,1,,,,,,,,,,30,,,,,,,,,,1,6,5,1,6,4,1,4,,,3,4,6,,,,11,5,1,,,,,,,,,,,2,,,2,,2,,4,,,,,3,2,1,2,1,3,2,1,2,1,1,2,3,,5,,7,,,,,,,,,,,,,,5,1,3,11515,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,2,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,1324.44,2,298.01,1,331.11,4,74.50,2,331.11,,,4,,,74.50,,,2,,,,0.00,136.86,68.43,0.00,0.00,1026.43,0.00,0.00,0.00,0.00,0.00,20.53,0.00,0.00,2.05,0.00,68.43,1.71,0.00,0.00,0.00,0.00,,1,3,3,1,1,5,1,1,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,,,,,,,,,10,,,,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,8,3,,5,5,3,4,,4,,4,,,,,,,,,,5,4,5,5,4,4,4,4,5,5,,3,4,1,1,97,,1,4,1,3,1,398.94,,,,398.94
101,1,1,,5.0,2,3,1,8,10,1,5,1,4,,9,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,3,5,,1,5,2,,10,9,,6,7,9,,2,,,,,,,,,,,,,,,2,,,,,,,7,,6,5,0,6,5,3,3,0,3,3,1,2,,4,5,,,,,,11,,13,,,,,,,,2,5,4,50500,42001,,,,1,,3,4,,,,,,,,,,,,,17,1,,3,4,,,,8,,,3,1,2,4,5,5,2,2,,1,0,,,,,,,,,,,,,1,3,,2,1,,,,,,,,,,,,,2,2,,1,0,,,,,,,,,,,,,1,3,,2,1,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,4,,,,,,,,4,,,,,,,,8271.80,5,7233.00,5,1480.50,5,1224.98,5,,,1480.50,,,5,,,1224.98,,,5,6798.74,0.00,,226.62,317.27,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906.50,22.66,0.00,0.00,0.00,,5,1,,4,4,,,,1,1,1,1,1,1,1,1,1,4,2,1,1,1,,1,2,3,,,,7,,,,,12,,5.00,25.00,40.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,5.00,0.00,2,3,8,4,3,4,,3,4,,,,,,3,,4,,,,3,2,3,4,3,3,3,3,3,3,3,4,4,1,1,13,,1,6,1,1,3,436.31,,,,436.31
