ID,D_AGE,AGE_NAME,IS_HALLYU,IS_FIT,IS_FAMILY,IS_SOLO,TOTAL_SPEND
1,2.00,20대,1,1,0,1,5
2,3.00,30대,0,1,0,0,5
3,1.00,10대,1,1,0,0,5
4,5.00,50대,1,1,0,0,4
5,4.00,40대,1,1,1,0,5
6,4.00,40대,1,1,0,0,5
7,3.00,30대,1,1,0,0,5
8,2.00,20대,1,1,0,0,4
9,5.00,50대,1,1,0,0,5
10,2.00,20대,1,1,0,0,4
11,2.00,20대,0,1,0,0,5
12,3.00,30대,0,1,0,0,4
13,3.00,30대,1,1,0,0,5
14,2.00,20대,1,1,0,1,5
15,3.00,30대,1,0,0,0,4
16,4.00,40대,0,1,1,0,4
17,2.00,20대,1,1,0,0,5
18,2.00,20대,1,1,1,0,4
19,4.00,40대,1,1,0,0,5
20,4.00,40대,1,0,0,0,5
21,3.00,30대,1,1,0,0,5
22,4.00,40대,1,1,0,0,4
23,2.00,20대,1,1,0,0,5
24,2.00,20대,1,1,0,0,4
25,2.00,20대,1,1,1,0,4
26,2.00,20대,0,1,0,0,5
27,2.00,20대,1,1,0,0,5
28,4.00,40대,0,1,0,0,4
29,3.00,30대,0,1,0,0,5
30,3.00,30대,1,1,0,0,5
31,4.00,40대,1,1,0,0,5
32,4.00,40대,0,1,0,0,4
33,3.00,30대,0,1,0,0,5
34,3.00,30대,1,1,0,0,5
35,3.00,30대,1,1,0,1,5
36,5.00,50대,0,1,0,1,5
37,1.00,10대,1,1,0,1,5
38,3.00,30대,0,0,0,0,4
39,4.00,40대,1,1,0,0,4
40,3.00,30대,1,1,0,0,4
41,3.00,30대,0,1,1,0,5
42,2.00,20대,1,1,0,0,4
43,3.00,30대,1,1,0,0,5
44,3.00,30대,0,1,0,0,5
45,3.00,30대,1,1,0,0,5
46,4.00,40대,0,1,0,0,5
47,2.00,20대,1,1,0,0,4
48,2.00,20대,0,1,0,0,3
49,4.00,40대,0,0,1,0,4
50,2.00,20대,1,1,1,0,5
51,3.00,30대,1,1,0,1,5
52,3.00,30대,1,1,0,1,5
53,2.00,20대,0,1,1,0,4
54,4.00,40대,0,1,0,0,5
55,2.00,20대,0,1,1,0,3
56,3.00,30대,0,1,0,1,4
57,3.00,30대,0,1,0,0,5
58,3.00,30대,1,1,1,0,5
59,5.00,50대,0,1,0,0,5
60,6.00,60대이상,1,1,0,1,5
61,6.00,60대이상,1,1,0,0,5
62,4.00,40대,1,1,0,1,5
63,3.00,30대,1,1,0,0,5
64,3.00,30대,0,1,0,1,3
65,5.00,50대,1,1,0,0,5
66,1.00,10대,1,0,0,0,5
67,2.00,20대,1,1,0,0,5
68,2.00,20대,1,1,0,0,5
69,3.00,30대,1,1,0,0,5
70,6.00,60대이상,0,1,0,0,5
71,3.00,30대,1,1,0,0,4
72,2.00,20대,0,0,0,1,4
73,3.00,30대,0,1,0,0,5
74,5.00,50대,1,1,0,0,4
75,2.00,20대,0,1,0,0,5
76,5.00,50대,1,0,0,0,5
77,5.00,50대,1,1,0,0,4
78,2.00,20대,0,1,0,1,5
79,4.00,40대,1,1,0,0,4
80,2.00,20대,0,1,0,0,5
81,4.00,40대,1,1,1,0,5
82,6.00,60대이상,0,1,0,1,5
83,2.00,20대,0,1,0,0,5
84,5.00,50대,1,1,0,1,5
85,2.00,20대,0,1,0,0,5
86,2.00,20대,0,1,0,0,4
87,3.00,30대,0,1,1,0,5
88,3.00,30대,1,1,1,0,5
89,4.00,40대,0,1,0,0,4
90,5.00,50대,0,0,1,0,4
91,3.00,30대,1,1,0,0,5
92,1.00,10대,0,1,0,0,5
93,4.00,40대,1,1,0,0,5
94,1.00,10대,0,0,0,0,5
95,2.00,20대,1,1,0,0,4
96,3.00,30대,0,1,0,1,5
97,5.00,50대,1,1,0,0,5
98,4.00,40대,1,0,0,0,5
99,2.00,20대,1,1,1,0,5
100,2.00,20대,1,1,0,0,5
101,1.00,10대,1,1,0,0,5
102,2.00,20대,0,0,0,0,5
103,3.00,30대,0,1,0,0,4
104,2.00,20대,0,1,0,0,5
105,4.00,40대,0,1,1,0,3
106,3.00,30대,1,1,0,0,5
107,3.00,30대,0,1,0,0,4
108,2.00,20대,0,1,0,1,5
109,6.00,60대이상,1,1,0,0,4
110,3.00,30대,1,1,0,1,5
111,2.00,20대,1,1,0,1,5
112,5.00,50대,0,1,0,0,3
113,5.00,50대,0,1,1,0,5
114,2.00,20대,0,1,1,0,4
115,3.00,30대,0,1,0,0,3
116,2.00,20대,1,1,1,0,5
117,2.00,20대,0,1,0,0,5
118,3.00,30대,1,1,0,0,5
119,3.00,30대,1,1,0,0,5
120,2.00,20대,0,0,0,0,5
121,4.00,40대,1,1,0,1,5
122,4.00,40대,1,1,1,0,5
123,3.00,30대,1,1,0,0,5
124,3.00,30대,1,1,0,0,5
125,4.00,40대,1,0,0,0,5
126,3.00,30대,0,1,0,0,5
127,4.00,40대,1,1,0,0,5
128,3.00,30대,0,1,0,0,4
129,2.00,20대,1,1,0,0,5
130,3.00,30대,0,1,0,0,5
131,2.00,20대,0,1,0,0,5
132,3.00,30대,1,0,0,1,5
133,3.00,30대,1,0,0,0,5
134,3.00,30대,0,1,0,0,5
135,1.00,10대,1,1,1,0,4
136,2.00,20대,0,1,0,0,5
137,1.00,10대,1,0,0,0,5
138,2.00,20대,1,0,0,0,5
139,3.00,30대,1,1,0,0,1
140,3.00,30대,1,1,0,0,5
141,3.00,30대,0,1,0,1,5
142,2.00,20대,1,1,0,0,5
143,2.00,20대,0,1,0,0,3
144,2.00,20대,0,0,0,0,5
145,2.00,20대,0,1,0,0,5
146,3.00,30대,0,1,0,0,4
147,3.00,30대,0,1,0,0,5
148,2.00,20대,1,1,0,0,5
149,3.00,30대,1,1,0,0,5
150,4.00,40대,1,1,0,0,5
151,3.00,30대,0,1,1,0,4
152,3.00,30대,1,1,0,0,5
153,5.00,50대,1,1,0,0,4
154,3.00,30대,0,0,0,1,4
155,3.00,30대,0,1,0,0,4
156,4.00,40대,0,1,0,0,5
157,3.00,30대,1,1,0,0,5
158,4.00,40대,0,0,1,0,5
159,3.00,30대,0,1,0,0,5
