YEAR,ID,WEIGHT,D_NAT,D_SEX,D_AGE,AGE_GROUP_NAME,YOUNG_GEN,TYP,IS_HALLYU,TOTAL_SPEND
2019,1201016,1.4444,1.00,2,2,20대,1,4,0,583.68
2019,1201017,1.4444,1.00,2,2,20대,1,4,0,433.20
2019,1201018,1.4725,1.00,1,2,20대,1,1,0,428.64
2019,1201019,1.9232,1.00,2,3,30대,1,2,0,324.67
2019,1201020,1.4725,1.00,1,2,20대,1,4,0,465.12
2019,1201055,1.5440,1.00,1,4,40대,0,3,0,255.36
2019,1201056,1.4444,1.00,2,2,20대,1,4,0,638.40
2019,1201415,1.5030,1.00,2,4,40대,0,4,0,510.72
2019,1203102,1.4444,1.00,2,2,20대,1,4,0,647.52
2019,1203106,1.7472,1.00,1,3,30대,1,1,0,656.64
2019,1204031,1.7472,1.00,1,3,30대,1,4,0,1112.64
2019,1204039,1.4444,1.00,2,2,20대,1,4,0,966.72
2019,1204042,1.5440,1.00,1,4,40대,0,3,0,839.04
2019,1204044,1.5440,1.00,1,4,40대,0,2,0,437.76
2019,1205611,1.8406,1.00,2,5,50대,0,5,0,2736.00
2019,1206001,1.4444,1.00,2,2,20대,1,4,0,538.08
2019,1101073,2.1620,1.00,2,5,50대,0,5,0,777.59
2019,1101420,1.4442,1.00,2,2,20대,1,2,0,629.48
2019,1101421,1.0922,1.00,1,2,20대,1,1,0,442.48
2019,1101422,1.8475,1.00,2,3,30대,1,5,0,1249.70
2019,1101423,1.4442,1.00,2,2,20대,1,2,0,962.73
2019,1103001,1.6491,1.00,1,6,60대이상,0,2,0,583.19
2019,1103003,1.4400,1.00,2,4,40대,0,4,0,760.93
2019,1103013,1.7982,1.00,1,3,30대,1,4,0,388.79
2019,1103030,1.4442,1.00,2,2,20대,1,3,0,333.25
2019,1103031,1.6491,1.00,1,5,50대,0,1,0,203.65
2019,1104020,1.4400,1.00,2,4,40대,0,4,0,1744.94
2019,1104021,2.1620,1.00,2,5,50대,0,3,0,492.47
2019,1104024,1.4400,1.00,2,4,40대,0,4,0,934.96
2019,1104025,1.4442,1.00,2,1,10대(15-19세),1,5,0,2897.44
2019,1104031,1.8475,1.00,2,3,30대,1,1,0,277.71
2019,1104032,1.4442,1.00,2,2,20대,1,4,0,485.99
2019,1104046,1.0922,1.00,1,2,20대,1,1,0,907.19
2019,1104056,1.4442,1.00,2,2,20대,1,4,0,664.65
2019,1104059,1.6491,1.00,1,5,50대,0,5,0,1073.81
2019,1104061,1.4442,1.00,2,1,10대(15-19세),1,1,0,800.73
2019,1105208,1.8475,1.00,2,3,30대,1,4,0,1171.01
2019,1105604,1.4442,1.00,2,2,20대,1,3,0,925.70
2019,1106001,1.4442,1.00,2,2,20대,1,4,0,601.71
2019,1001010,1.5588,1.00,2,5,50대,0,4,0,489.56
2019,1001020,1.6123,1.00,2,3,30대,1,5,0,434.14
2019,1001024,1.4201,1.00,2,1,10대(15-19세),1,4,0,692.78
2019,1001025,1.4201,1.00,2,2,20대,1,5,0,411.05
2019,1001026,1.4201,1.00,2,2,20대,1,4,0,544.98
2019,1001027,1.4693,1.00,2,4,40대,0,4,0,646.59
2019,1001028,1.6123,1.00,2,3,30대,1,1,0,923.70
2019,1001029,1.6123,1.00,2,3,30대,1,5,0,1570.29
2019,1001060,1.6123,1.00,2,3,30대,1,4,0,812.86
2019,1001422,1.4693,1.00,2,4,40대,0,4,0,125.62
2019,1001424,1.4201,1.00,2,2,20대,1,5,0,392.57
2019,1004012,1.5588,1.00,2,5,50대,0,4,0,462.31
2019,1004013,1.5308,1.00,1,3,30대,1,4,0,498.80
2019,1004014,1.4693,1.00,2,4,40대,0,5,0,1247.00
2019,1004017,1.5588,1.00,2,6,60대이상,0,5,0,738.96
2019,1004023,1.5917,1.00,1,5,50대,0,4,0,600.41
2019,1004025,1.1006,1.00,1,2,20대,1,2,0,341.77
2019,1004027,1.4201,1.00,2,2,20대,1,4,0,775.91
2019,1004037,1.5357,1.00,1,4,40대,0,2,0,489.56
2019,1004038,1.6123,1.00,2,3,30대,1,4,0,757.43
2019,1004043,1.4201,1.00,2,2,20대,1,4,0,781.45
2019,1004048,1.5917,1.00,1,5,50대,0,4,0,979.12
2019,1004050,1.4201,1.00,2,2,20대,1,4,0,1241.91
2019,1004054,1.1006,1.00,1,2,20대,1,4,0,509.88
2019,1004057,1.4201,1.00,2,1,10대(15-19세),1,2,0,1247.00
2019,1004059,1.4201,1.00,2,2,20대,1,4,0,785.15
2019,1004114,1.1006,1.00,1,2,20대,1,3,0,665.06
2019,1005009,1.5357,1.00,1,4,40대,0,1,0,230.93
2019,1005208,1.5917,1.00,1,5,50대,0,2,0,697.39
2019,1005209,1.6123,1.00,2,3,30대,1,3,0,729.72
2019,1005231,1.5357,1.00,1,4,40대,0,2,0,1302.42
2019,1005608,1.5588,1.00,2,5,50대,0,2,0,833.18
2019,1005622,1.4201,1.00,2,2,20대,1,3,0,905.23
2019,1006002,1.5357,1.00,1,4,40대,0,2,0,628.12
2019,1007010,1.4693,1.00,2,4,40대,0,1,0,466.47
2019,1007011,1.4201,1.00,2,2,20대,1,2,0,734.34
2019,1007017,1.1006,1.00,1,2,20대,1,4,0,166.27
2019,901014,1.2992,1.00,1,3,30대,1,2,0,253.77
2019,901020,1.1746,1.00,2,4,40대,0,4,0,607.18
2019,901022,1.8168,1.00,2,2,20대,1,4,0,780.12
2019,901045,1.8168,1.00,2,2,20대,1,4,0,347.76
2019,901046,1.3659,1.00,1,6,60대이상,0,4,0,1033.89
2019,901075,1.3659,1.00,1,5,50대,0,1,0,338.36
2019,901415,1.1746,1.00,2,4,40대,0,5,0,607.18
2019,901418,1.2992,1.00,1,3,30대,1,5,0,845.91
2019,901419,1.3659,1.00,1,5,50대,0,4,0,498.15
2019,901420,1.1512,1.00,2,5,50대,0,4,0,639.13
2019,901421,1.2992,1.00,1,3,30대,1,2,0,545.14
2019,903017,1.2992,1.00,1,3,30대,1,1,0,413.56
2019,903018,1.9891,1.00,1,2,20대,1,4,0,281.97
2019,903020,1.8168,1.00,2,1,10대(15-19세),1,4,0,441.75
2019,904001,1.1746,1.00,2,4,40대,0,5,0,1304.58
2019,904010,1.2666,1.00,2,3,30대,1,5,0,1550.84
2019,904012,1.1512,1.00,2,6,60대이상,0,4,0,1014.15
2019,904013,1.3659,1.00,1,6,60대이상,0,4,0,526.34
2019,904018,1.4870,1.00,1,4,40대,0,1,0,357.16
2019,904046,1.4870,1.00,1,4,40대,0,4,0,661.06
2019,904057,1.2992,1.00,1,3,30대,1,4,0,274.45
2019,905030,1.1512,1.00,2,5,50대,0,2,0,1560.23
2019,905202,1.8168,1.00,2,2,20대,1,3,0,467.60
2019,905204,1.8168,1.00,2,2,20대,1,4,0,1268.87
2019,905230,1.2666,1.00,2,3,30대,1,1,0,1579.03
2019,905607,1.2666,1.00,2,3,30대,1,2,0,939.90
2019,905617,1.3659,1.00,1,5,50대,0,5,0,939.90
2019,906003,1.1512,1.00,2,5,50대,0,4,0,545.14
2019,801032,1.1459,1.00,2,5,50대,0,2,0,275.10
2019,801048,1.5209,1.00,2,3,30대,1,2,0,632.73
2019,801416,1.4089,1.00,1,5,50대,0,5,0,348.46
2019,801417,1.1459,1.00,2,5,50대,0,3,0,739.56
2019,801419,1.8531,1.00,1,4,40대,0,4,0,495.18
2019,803006,2.6391,1.00,2,2,20대,1,3,0,449.33
2019,803010,1.4581,1.00,1,3,30대,1,4,0,421.82
2019,804017,1.8361,1.00,2,4,40대,0,4,0,962.85
2019,804019,2.6391,1.00,2,1,10대(15-19세),1,4,0,1311.31
2019,804026,3.1741,1.00,1,2,20대,1,4,0,1256.29
2019,804027,2.6391,1.00,2,2,20대,1,4,0,898.66
2019,804029,3.1741,1.00,1,2,20대,1,1,0,339.29
2019,804034,2.6391,1.00,2,1,10대(15-19세),1,5,0,1604.75
2019,804038,1.8531,1.00,1,4,40대,0,4,0,839.06
2019,804040,2.6391,1.00,2,2,20대,1,4,0,504.35
2019,804041,1.4089,1.00,1,5,50대,0,1,0,1132.50
2019,804044,1.4581,1.00,1,3,30대,1,4,0,1283.80
2019,804050,1.4089,1.00,1,5,50대,0,3,0,550.20
2019,804051,1.8361,1.00,2,4,40대,0,5,0,117.38
2019,804061,1.1459,1.00,2,5,50대,0,5,0,884.91
2019,804063,2.6391,1.00,2,2,20대,1,4,0,856.48
2019,805014,1.5209,1.00,2,3,30대,1,3,0,1054.55
2019,805202,1.4581,1.00,1,3,30대,1,2,0,623.56
2019,805212,2.6391,1.00,2,2,20대,1,5,0,678.58
2019,805228,1.1459,1.00,2,5,50대,0,4,0,1228.78
2019,805240,1.8361,1.00,2,4,40대,0,2,0,486.01
2019,701001,1.5339,1.00,2,2,20대,1,4,0,2133.75
2019,701003,1.5339,1.00,2,2,20대,1,4,0,387.95
2019,701004,1.9176,1.00,1,3,30대,1,4,0,170.88
2019,701005,1.7509,1.00,1,4,40대,0,2,0,415.67
2019,701006,1.3886,1.00,1,2,20대,1,4,0,665.06
2019,701022,1.3886,1.00,1,2,20대,1,4,0,323.30
2019,701023,1.7509,1.00,1,4,40대,0,1,0,545.91
2019,701024,1.3886,1.00,1,2,20대,1,3,0,503.42
2019,701045,1.8535,1.00,2,3,30대,1,4,0,323.30
2019,701046,1.4211,1.00,2,5,50대,0,2,0,535.75
2019,701047,1.6260,1.00,1,6,60대이상,0,4,0,397.19
2019,701412,1.5339,1.00,2,2,20대,1,3,0,923.70
2019,701414,1.5339,1.00,2,2,20대,1,3,0,1154.63
2019,701415,1.3886,1.00,1,2,20대,1,2,0,715.87
2019,701417,1.6260,1.00,1,6,60대이상,0,1,0,1034.54
2019,701419,1.8535,1.00,2,3,30대,1,3,0,923.70
2019,701423,1.4211,1.00,2,5,50대,0,4,0,1173.10
2019,703014,1.3886,1.00,1,2,20대,1,4,0,323.30
2019,703018,1.5271,1.00,2,4,40대,0,4,0,563.46
2019,704012,1.9176,1.00,1,3,30대,1,2,0,600.41
2019,704021,1.5271,1.00,2,4,40대,0,4,0,1958.24
2019,704022,1.4211,1.00,2,5,50대,0,4,0,1006.83
2019,704025,1.8535,1.00,2,3,30대,1,4,0,355.62
2019,704031,1.9176,1.00,1,3,30대,1,2,0,646.59
2019,704041,1.4211,1.00,2,5,50대,0,4,0,694.62
2019,704056,1.3886,1.00,1,2,20대,1,3,0,997.60
2019,704058,1.5339,1.00,2,2,20대,1,1,0,447.99
2019,704155,1.5339,1.00,2,2,20대,1,3,0,277.11
2019,705013,1.5339,1.00,2,2,20대,1,5,0,480.32
2019,705014,1.9176,1.00,1,3,30대,1,4,0,1570.29
2019,705233,1.8535,1.00,2,3,30대,1,4,0,480.32
